District_Name,Year,Annual,Kharif,Summer,Winter,Autumn,Rabi
Aizawl,2016,2270.6,1196.3,937.7,7.9,120.1,120.1
Aizawl,2017,3062.9,1235.0,1469.2,75.2,305.4,350.7
Aizawl,2018,2360.3,1264.2,980.6,31.3,84.3,85.6
Ajmer,2000,425.6,303.5,108.7,27.0,8.9,8.9
Ajmer,2001,650.4,545.8,77.5,16.0,0.1,0.1
Ajmer,2002,531.4,489.8,25.5,4.8,0.1,0.1
Ajmer,2003,727.2,613.1,103.4,0.0,5.9,5.9
Ajmer,2004,583.5,413.4,114.3,10.2,46.3,55.7
Ajmer,2005,426.5,337.6,44.8,2.0,43.3,43.3
Ajmer,2006,241.4,186.1,45.1,0.1,8.3,8.3
Ajmer,2007,371.1,341.3,29.6,0.0,0.2,0.2
Ajmer,2008,528.9,399.4,119.6,19.1,9.8,9.8
Ajmer,2009,215.2,125.6,62.6,48.9,0.0,7.8
Ajmer,2010,480.1,386.3,52.1,2.0,0.1,0.6
Ajmer,2011,532.5,482.5,33.7,0.8,14.7,14.7
Ajmer,2012,452.4,380.3,71.2,0.0,0.0,0.0
Ajmer,2013,452.4,372.8,78.5,13.5,1.0,1.0
Ajmer,2014,440.8,368.4,58.7,0.2,0.0,0.0
Ajmer,2015,519.3,360.2,149.3,0.3,9.6,9.6
Ajmer,2016,302.8,262.9,30.8,9.2,8.8,8.8
Ajmer,2017,635.9,561.5,8.4,30.7,55.6,56.9
Ajmer,2018,764.5,595.0,140.1,54.2,0.0,0.0
Akola,2000,757.5,488.3,163.9,21.0,83.2,99.0
Akola,2001,956.3,736.4,177.1,31.8,37.5,37.5
Akola,2002,759.5,524.3,170.6,2.9,32.0,32.8
Akola,2003,709.6,503.6,41.8,13.4,162.2,162.2
Akola,2004,799.0,440.7,95.7,78.0,184.7,249.3
Akola,2005,1010.7,661.2,215.4,13.7,120.6,120.6
Akola,2006,957.6,623.7,220.2,15.5,100.1,100.1
Akola,2007,731.7,541.2,149.2,10.6,25.8,25.8
Akola,2008,892.2,396.3,294.9,6.1,190.5,190.5
Akola,2009,861.2,489.6,313.6,0.4,51.9,51.9
Akola,2010,655.7,485.9,131.2,7.0,37.2,38.2
Akola,2011,529.9,383.3,91.3,25.6,49.2,49.2
Akola,2012,932.2,702.5,143.3,0.0,60.6,60.6
Akola,2013,1108.9,824.7,194.5,0.8,89.7,89.7
Akola,2014,943.7,779.5,157.4,1.4,6.0,6.0
Akola,2015,601.1,476.9,99.2,0.2,23.5,23.7
Akola,2016,796.2,477.8,145.7,40.9,161.2,172.7
Akola,2017,1070.4,790.0,140.1,1.4,110.8,111.0
Akola,2018,738.6,600.9,133.3,56.8,3.3,3.3
Aligarh,2000,812.1,673.0,118.5,34.5,1.4,1.4
Aligarh,2001,634.2,546.9,52.7,26.6,0.0,0.0
Aligarh,2002,641.2,559.4,54.5,86.1,0.0,0.7
Aligarh,2003,800.5,656.9,50.3,2.2,7.7,7.7
Aligarh,2004,449.9,316.3,104.4,16.1,21.0,27.0
Aligarh,2005,974.6,778.1,109.1,14.4,77.3,77.3
Aligarh,2006,627.3,529.0,59.3,15.2,24.6,24.7
Aligarh,2007,621.8,487.5,119.2,8.9,0.1,0.1
Aligarh,2008,471.8,310.8,125.2,41.0,26.8,26.8
Aligarh,2009,429.7,330.1,35.0,74.0,6.7,23.6
Aligarh,2010,1108.9,1002.9,41.1,25.5,0.0,7.8
Aligarh,2011,569.5,413.2,69.0,29.1,69.7,69.7
Aligarh,2012,679.4,548.1,101.3,1.2,0.0,0.9
Aligarh,2013,521.9,383.4,110.2,66.7,27.5,27.9
Aligarh,2014,544.8,337.4,139.8,0.2,1.1,1.3
Aligarh,2015,848.3,626.0,218.6,0.2,3.8,3.8
Aligarh,2016,452.6,339.0,36.0,39.3,66.6,77.5
Aligarh,2017,744.5,679.7,14.5,61.5,14.8,21.7
Aligarh,2018,875.7,669.5,151.6,111.6,0.0,0.0
Allahabad,2000,643.2,455.8,167.8,45.1,14.6,14.6
Allahabad,2001,982.3,782.3,153.0,40.4,2.0,2.0
Allahabad,2002,859.0,752.6,32.5,91.7,19.3,33.5
Allahabad,2003,863.5,471.2,218.7,5.4,96.0,96.0
Allahabad,2004,329.1,271.2,49.2,2.7,2.1,3.3
Allahabad,2005,479.1,428.6,46.6,29.3,2.5,2.5
Allahabad,2006,1069.3,919.5,82.6,6.0,33.6,37.9
Allahabad,2007,723.6,579.8,141.4,0.6,0.8,0.8
Allahabad,2008,1002.3,670.4,192.8,35.6,138.5,138.5
Allahabad,2009,658.1,545.5,27.2,61.6,46.5,49.9
Allahabad,2010,1019.8,872.0,84.6,12.6,4.9,5.1
Allahabad,2011,395.8,275.8,100.1,22.1,7.5,7.5
Allahabad,2012,577.5,497.3,34.9,7.1,16.2,23.3
Allahabad,2013,802.2,724.1,68.7,59.0,9.4,9.4
Allahabad,2014,562.4,411.3,84.7,12.2,6.9,7.4
Allahabad,2015,1016.1,693.3,303.2,0.1,7.8,7.8
Allahabad,2016,497.0,391.5,28.0,17.8,75.4,77.3
Allahabad,2017,647.1,556.5,29.8,5.6,45.0,45.0
Allahabad,2018,1219.1,920.1,293.1,104.9,0.2,0.2
Alleppey,2000,2993.4,1030.1,1052.6,169.1,824.7,887.5
Alleppey,2001,3161.6,1367.6,1017.2,38.6,658.5,670.6
Alleppey,2002,3047.3,1396.7,1149.7,15.6,474.4,474.4
Alleppey,2003,2460.6,1111.9,752.7,89.7,497.8,580.3
Alleppey,2004,3179.1,1560.8,748.5,187.3,724.4,862.5
Alleppey,2005,3268.7,1509.2,951.9,128.9,658.6,758.5
Alleppey,2006,3140.8,813.7,1566.1,213.5,717.4,732.0
Alleppey,2007,2579.4,1094.0,932.0,128.4,294.4,354.5
Alleppey,2008,2849.1,1108.7,1135.7,45.5,522.1,536.3
Alleppey,2009,2525.3,736.6,1032.9,72.8,723.9,724.6
Alleppey,2010,2494.1,898.4,892.9,17.2,621.8,630.6
Alleppey,2011,2763.4,861.1,1355.2,37.1,536.7,538.7
Alleppey,2012,1602.5,285.0,581.8,199.2,512.8,700.5
Alleppey,2013,3314.5,1241.4,1148.5,21.0,911.5,913.1
Alleppey,2014,2959.8,1548.3,945.7,57.4,441.4,446.5
Alleppey,2015,2290.0,1138.4,727.0,55.7,325.3,372.2
Alleppey,2016,2452.6,956.4,854.8,81.6,575.0,632.7
Alleppey,2017,3399.9,1101.4,1198.0,234.7,968.5,1076.5
Alleppey,2018,2577.2,1011.4,941.7,336.3,351.5,497.5
Almora,2000,1564.1,1154.6,290.5,106.4,11.4,11.4
Almora,2001,1058.9,751.0,193.7,176.6,3.1,7.7
Almora,2002,1286.9,925.8,182.8,142.6,0.9,6.4
Almora,2003,983.9,586.7,226.5,42.0,33.6,33.6
Almora,2004,726.9,300.3,360.0,57.3,11.2,24.7
Almora,2005,1216.6,722.9,407.0,37.6,43.0,43.0
Almora,2006,1060.3,758.3,208.2,127.3,40.6,56.2
Almora,2007,1673.5,948.2,600.1,42.4,12.9,13.4
Almora,2008,1166.5,642.1,473.6,161.5,4.1,9.0
Almora,2009,1381.7,909.7,300.2,205.1,12.4,15.3
Almora,2010,1782.2,1244.5,295.8,76.0,9.6,39.6
Almora,2011,1191.3,770.2,295.7,141.8,78.7,79.5
Almora,2012,1391.9,1046.2,178.8,12.0,19.8,26.1
Almora,2013,813.0,561.0,225.7,134.6,10.0,20.8
Almora,2014,1346.0,761.4,442.3,48.5,12.8,18.5
Almora,2015,817.8,522.8,240.1,12.4,12.0,12.0
Almora,2016,1071.2,767.9,126.3,73.6,162.4,164.6
Almora,2017,1652.0,1402.7,149.8,111.2,14.5,28.2
Almora,2018,1502.2,1027.5,373.3,67.0,2.3,3.8
Alwar,2000,617.8,513.2,86.5,38.2,1.1,1.1
Alwar,2001,595.3,474.1,83.1,55.6,0.0,0.0
Alwar,2002,977.3,895.9,25.4,23.1,0.3,0.3
Alwar,2003,1055.7,647.1,365.2,4.0,20.3,20.3
Alwar,2004,691.2,444.3,114.8,51.0,86.8,128.0
Alwar,2005,725.4,610.1,71.5,9.8,34.2,34.2
Alwar,2006,308.7,239.6,42.9,3.4,16.3,16.3
Alwar,2007,416.4,333.2,79.8,6.7,0.1,0.1
Alwar,2008,536.9,294.9,222.7,29.0,12.5,12.5
Alwar,2009,272.5,159.9,69.2,64.5,3.3,14.3
Alwar,2010,797.3,678.0,55.5,21.5,0.0,10.2
Alwar,2011,548.1,374.3,69.1,13.8,93.4,93.4
Alwar,2012,655.6,513.2,128.7,0.0,0.0,0.0
Alwar,2013,409.1,296.7,109.5,55.3,1.9,2.9
Alwar,2014,552.4,354.5,143.5,0.2,0.0,0.2
Alwar,2015,903.0,530.1,372.8,0.5,0.1,0.1
Alwar,2016,486.6,427.0,43.0,22.2,15.3,15.9
Alwar,2017,813.1,720.5,33.9,29.9,36.3,37.0
Alwar,2018,682.4,545.3,107.7,205.0,0.0,0.0
Ambala,2000,953.0,753.7,132.6,98.0,0.3,0.3
Ambala,2001,1217.0,971.7,145.2,123.0,0.3,2.1
Ambala,2002,1795.6,1551.8,121.4,181.5,1.2,1.3
Ambala,2003,1604.3,1186.5,209.8,27.0,26.8,26.8
Ambala,2004,1126.1,711.6,220.2,154.1,63.5,167.2
Ambala,2005,1629.3,1012.4,424.6,76.4,141.8,142.0
Ambala,2006,1076.9,856.6,142.0,97.6,1.4,2.1
Ambala,2007,1078.6,716.6,264.9,19.1,0.0,0.3
Ambala,2008,973.8,694.4,246.8,94.5,9.4,13.8
Ambala,2009,1052.0,794.4,155.5,95.4,11.3,11.9
Ambala,2010,1142.6,874.3,159.2,100.6,1.2,14.4
Ambala,2011,993.1,602.7,240.6,89.3,60.3,62.6
Ambala,2012,1092.0,823.9,180.9,20.4,0.0,0.1
Ambala,2013,792.1,503.9,240.8,184.8,17.0,27.2
Ambala,2014,1095.0,541.1,368.7,28.1,6.4,10.8
Ambala,2015,1208.4,674.4,423.9,26.5,86.4,86.4
Ambala,2016,877.8,722.3,122.9,32.1,5.8,5.9
Ambala,2017,1089.6,925.4,89.2,67.8,8.1,43.0
Ambala,2018,1113.7,669.3,406.0,94.0,0.1,5.5
Ambedkar Nagar,2000,1284.8,984.8,283.4,56.7,8.0,8.0
Ambedkar Nagar,2001,1390.1,1071.8,243.2,56.6,18.4,18.4
Ambedkar Nagar,2002,1168.3,873.3,171.9,129.6,62.0,66.5
Ambedkar Nagar,2003,1291.7,898.0,175.2,1.3,93.5,93.5
Ambedkar Nagar,2004,480.9,333.3,142.8,19.6,0.9,3.4
Ambedkar Nagar,2005,987.9,845.3,99.0,15.0,26.6,26.6
Ambedkar Nagar,2006,721.6,461.5,151.5,18.1,93.3,93.8
Ambedkar Nagar,2007,1389.9,913.3,432.2,0.9,26.8,26.8
Ambedkar Nagar,2008,1469.6,888.5,417.5,51.7,162.6,162.6
Ambedkar Nagar,2009,859.4,657.0,115.0,33.9,34.3,35.6
Ambedkar Nagar,2010,1216.8,1048.5,133.6,15.7,1.8,2.2
Ambedkar Nagar,2011,710.0,493.9,190.3,21.2,10.5,10.5
Ambedkar Nagar,2012,1005.3,811.6,58.8,0.7,113.1,113.8
Ambedkar Nagar,2013,613.6,445.8,165.2,23.6,2.7,2.7
Ambedkar Nagar,2014,1055.3,855.0,153.6,0.0,23.1,23.1
Ambedkar Nagar,2015,1365.7,889.2,472.5,0.0,4.0,4.0
Ambedkar Nagar,2016,659.5,540.2,84.0,13.4,31.6,35.4
Ambedkar Nagar,2017,1074.1,965.4,85.7,21.2,13.4,13.4
Ambedkar Nagar,2018,1203.6,873.8,308.5,67.4,0.1,0.1
Amravati,2000,940.6,637.1,199.2,23.6,88.8,98.0
Amravati,2001,1195.2,929.0,204.6,42.3,47.1,47.1
Amravati,2002,901.0,586.7,228.0,6.8,43.4,44.2
Amravati,2003,832.8,651.5,40.1,9.0,135.2,135.2
Amravati,2004,1001.8,603.9,96.2,106.8,200.5,292.7
Amravati,2005,779.3,523.5,146.4,8.6,94.8,94.8
Amravati,2006,971.3,619.8,225.0,18.1,118.0,118.0
Amravati,2007,690.1,471.6,171.9,12.9,28.5,28.5
Amravati,2008,896.7,497.2,286.2,3.8,100.5,100.5
Amravati,2009,746.5,410.4,277.2,5.1,55.1,55.1
Amravati,2010,841.4,670.3,142.5,17.7,23.2,23.6
Amravati,2011,701.6,484.1,150.5,41.0,49.7,49.7
Amravati,2012,1126.2,857.4,183.4,2.2,42.2,44.4
Amravati,2013,1014.1,794.6,145.5,0.1,74.0,74.0
Amravati,2014,1234.3,1002.7,230.7,0.3,0.7,0.7
Amravati,2015,700.2,553.5,111.1,0.0,35.2,35.2
Amravati,2016,920.8,630.2,96.0,37.4,180.8,194.5
Amravati,2017,1161.5,867.5,150.0,1.5,119.1,120.3
Amravati,2018,896.0,749.3,142.3,0.4,4.2,4.2
Amreli,2000,591.7,400.5,88.7,14.2,79.4,93.6
Amreli,2001,810.3,614.6,195.7,0.0,0.0,0.0
Amreli,2002,461.5,419.7,6.8,0.0,35.0,35.0
Amreli,2003,571.6,292.8,151.1,0.0,127.7,127.7
Amreli,2004,574.3,366.3,202.0,0.0,5.9,5.9
Amreli,2005,668.1,443.0,113.4,1.4,111.8,111.8
Amreli,2006,402.3,199.6,158.6,0.0,42.6,42.6
Amreli,2007,293.7,244.9,47.6,0.2,0.9,1.1
Amreli,2008,552.0,316.3,209.8,0.0,25.8,25.8
Amreli,2009,568.1,243.3,324.7,0.0,0.1,0.1
Amreli,2010,695.9,561.5,122.4,0.1,12.0,12.0
Amreli,2011,479.1,321.5,142.7,0.0,14.8,14.8
Amreli,2012,561.0,362.1,197.7,0.0,1.2,1.2
Amreli,2013,1059.8,745.8,313.6,0.2,0.5,0.5
Amreli,2014,1279.1,1141.2,132.1,0.1,5.6,5.6
Amreli,2015,707.6,608.1,64.2,0.1,35.2,35.3
Amreli,2016,546.9,442.6,92.2,0.4,12.1,12.1
Amreli,2017,936.9,733.3,110.2,0.1,93.1,93.1
Amreli,2018,2638.1,2170.3,409.9,98.7,57.7,57.7
Amritsar,2000,734.2,578.8,128.4,65.0,0.2,0.2
Amritsar,2001,619.6,474.9,65.0,156.6,3.8,14.7
Amritsar,2002,873.5,648.1,73.4,74.7,4.6,6.4
Amritsar,2003,804.2,468.6,246.5,40.1,16.2,16.2
Amritsar,2004,788.6,462.2,163.5,84.6,106.7,122.6
Amritsar,2005,582.7,368.9,106.4,63.4,38.0,38.7
Amritsar,2006,439.1,313.7,62.1,56.6,0.5,0.5
Amritsar,2007,515.7,390.6,54.4,9.7,13.1,14.3
Amritsar,2008,706.3,467.6,222.1,13.4,0.9,8.1
Amritsar,2009,437.0,325.1,99.0,122.6,3.4,6.7
Amritsar,2010,845.1,516.0,173.1,76.1,11.6,36.4
Amritsar,2011,388.2,194.5,99.8,117.2,38.2,42.6
Amritsar,2012,770.6,560.2,93.5,20.5,4.1,4.1
Amritsar,2013,831.2,570.6,166.1,119.6,61.4,74.0
Amritsar,2014,700.7,268.2,319.4,49.5,2.5,6.2
Amritsar,2015,912.9,554.7,289.4,66.9,17.0,23.1
Amritsar,2016,424.8,286.8,65.3,14.5,12.0,12.0
Amritsar,2017,425.8,366.4,27.7,88.1,5.7,17.2
Amritsar,2018,1275.8,809.9,378.1,2.6,10.6,11.2
Anand,2000,701.0,614.0,63.1,19.9,24.0,24.0
Anand,2001,1153.2,992.7,140.5,2.5,0.0,0.0
Anand,2002,582.7,567.6,1.0,1.5,11.6,11.6
Anand,2003,982.0,822.6,131.4,2.6,26.5,26.5
Anand,2004,1183.7,642.0,533.1,0.3,5.6,5.9
Anand,2005,867.5,703.2,98.1,1.5,66.1,66.1
Anand,2006,530.4,332.6,135.2,0.0,61.1,61.1
Anand,2007,538.5,377.3,155.6,5.5,0.0,5.5
Anand,2008,587.5,423.4,142.7,0.0,21.4,21.4
Anand,2009,481.2,348.6,132.4,4.7,0.2,0.2
Anand,2010,995.2,856.5,134.0,0.0,0.0,0.0
Anand,2011,1037.8,882.9,133.4,0.0,21.5,21.5
Anand,2012,920.9,651.0,266.9,0.0,2.9,2.9
Anand,2013,1479.7,1355.2,117.9,1.3,6.6,6.6
Anand,2014,1212.9,1132.7,77.8,0.0,1.1,1.1
Anand,2015,802.2,740.2,57.1,1.2,3.7,4.9
Anand,2016,440.9,406.1,7.7,0.6,26.8,27.2
Anand,2017,855.5,786.9,34.2,0.0,34.2,34.2
Anand,2018,1041.6,954.9,86.7,43.1,0.0,0.0
Anantapur,2000,590.1,239.7,104.9,77.4,187.1,245.5
Anantapur,2001,431.4,118.3,77.1,7.3,215.0,217.1
Anantapur,2002,547.7,342.6,99.0,0.2,101.0,101.0
Anantapur,2003,925.4,423.4,246.3,27.0,236.3,255.4
Anantapur,2004,556.3,282.7,134.8,32.1,98.8,130.9
Anantapur,2005,673.6,398.2,89.4,10.0,181.2,186.1
Anantapur,2006,483.7,257.2,101.5,33.9,119.3,119.9
Anantapur,2007,678.7,315.7,175.0,8.7,146.9,154.6
Anantapur,2008,723.2,353.6,97.1,14.4,269.8,271.5
Anantapur,2009,405.1,121.2,149.4,1.4,120.4,121.8
Anantapur,2010,406.9,172.1,57.1,26.0,177.3,177.8
Anantapur,2011,527.5,239.9,190.3,11.7,71.0,71.7
Anantapur,2012,754.1,371.0,115.7,13.1,243.4,256.5
Anantapur,2013,415.1,121.6,176.0,4.6,112.9,117.4
Anantapur,2014,810.0,436.2,241.3,44.2,112.6,132.4
Anantapur,2015,726.8,372.1,185.1,0.5,144.9,145.2
Anantapur,2016,644.6,322.3,194.7,55.7,122.5,127.5
Anantapur,2017,852.9,353.2,191.1,7.5,251.7,258.1
Anantapur,2018,513.3,241.7,148.1,221.1,117.7,122.4
Anantnag (Kashmir South),2000,1129.1,284.9,537.6,255.3,14.8,15.4
Anantnag (Kashmir South),2001,1473.7,384.7,434.0,738.9,54.9,400.3
Anantnag (Kashmir South),2002,1405.7,433.6,412.2,348.4,101.9,166.4
Anantnag (Kashmir South),2003,1677.9,339.9,869.3,186.8,159.9,184.9
Anantnag (Kashmir South),2004,1344.2,378.1,534.5,439.5,194.3,269.8
Anantnag (Kashmir South),2005,1130.8,237.0,484.3,277.2,45.5,45.5
Anantnag (Kashmir South),2006,897.6,224.0,282.4,260.5,113.9,113.9
Anantnag (Kashmir South),2007,860.4,238.3,307.2,125.1,21.3,54.5
Anantnag (Kashmir South),2008,827.0,230.2,351.7,287.3,98.2,153.2
Anantnag (Kashmir South),2009,927.9,249.6,408.3,390.1,14.8,37.7
Anantnag (Kashmir South),2010,1442.4,281.2,590.6,408.6,79.7,203.5
Anantnag (Kashmir South),2011,883.6,171.3,316.3,148.5,77.6,111.2
Anantnag (Kashmir South),2012,1742.4,1355.0,256.0,215.6,16.3,16.3
Anantnag (Kashmir South),2013,1399.0,704.1,302.0,231.2,88.1,177.2
Anantnag (Kashmir South),2014,877.0,205.4,475.9,385.7,0.5,53.5
Anantnag (Kashmir South),2015,1005.5,227.4,267.3,424.6,66.0,178.0
Anantnag (Kashmir South),2016,923.5,197.1,330.1,234.8,52.6,83.8
Anantnag (Kashmir South),2017,1064.1,266.0,441.4,428.8,90.7,153.1
Anantnag (Kashmir South),2018,1260.3,304.0,485.2,218.2,46.2,104.6
Anugul,2000,1515.7,1001.2,446.8,31.9,67.5,67.5
Anugul,2001,1642.1,1135.6,411.7,93.0,63.0,63.0
Anugul,2002,1578.7,702.7,515.0,37.1,268.1,268.1
Anugul,2003,1215.0,631.4,504.0,21.2,42.6,42.6
Anugul,2004,1698.9,1082.4,485.4,113.1,46.2,109.8
Anugul,2005,1286.9,668.2,417.8,0.0,151.3,151.3
Anugul,2006,1742.5,844.6,486.3,29.7,411.6,411.6
Anugul,2007,1061.9,676.3,315.8,0.1,40.3,40.3
Anugul,2008,1702.3,1214.5,363.6,14.3,124.0,124.0
Anugul,2009,1032.6,671.9,320.4,11.2,25.8,26.0
Anugul,2010,1749.5,1044.9,330.7,25.5,342.3,362.8
Anugul,2011,1078.4,704.0,243.1,18.1,126.3,126.3
Anugul,2012,1770.6,1097.3,367.2,2.7,285.3,288.0
Anugul,2013,1383.9,1061.9,290.3,37.3,31.7,31.7
Anugul,2014,1445.2,1002.7,351.9,62.4,53.3,53.3
Anugul,2015,1465.7,923.8,458.1,0.0,21.1,21.1
Anugul,2016,1310.5,1016.8,129.1,2.4,164.6,164.6
Anugul,2017,1081.1,671.7,254.9,85.8,111.0,152.2
Anugul,2018,1566.0,1034.2,447.0,34.9,40.3,40.3
Araria,2000,1667.2,1181.5,402.4,84.5,56.6,56.6
Araria,2001,1200.5,711.6,358.2,24.4,46.2,46.2
Araria,2002,1639.2,1066.3,451.1,68.7,70.5,97.4
Araria,2003,1603.4,1136.7,344.9,14.1,80.0,80.0
Araria,2004,1770.5,1256.7,434.2,59.4,16.1,65.6
Araria,2005,2345.0,1914.2,336.9,0.1,83.9,84.0
Araria,2006,1922.9,1326.8,437.3,12.4,158.7,158.7
Araria,2007,1676.8,887.8,761.3,0.1,15.4,15.4
Araria,2008,1830.4,970.7,525.9,13.8,333.9,333.9
Araria,2009,1525.8,1072.0,425.7,55.3,14.4,14.4
Araria,2010,2210.0,1272.0,643.0,24.1,224.8,239.8
Araria,2011,1649.7,1022.5,494.2,15.5,123.7,123.7
Araria,2012,1538.3,858.1,598.5,0.1,66.2,66.2
